"CD_RES_SECTOR","SCORE","RANK","DECILE"
"11035B080",-0.862143988348645,16288,9
"11035B091",0.497878653236679,4075,3
"11035B19-",-0.49108532949274,13289,8
"11035B2MA",-0.22258002277097,10507,6
"11035B2PA",-0.506690287324863,13420,8
"11035C00-",-0.153444744974426,9771,6
"11035C01-",-0.579971862685551,14101,8
"11035C022",-0.900176883809796,16488,10
"11035C081",-0.99504021164319,16921,10
"11035C09-",-0.663821307865859,14846,9
"11035C19-",-0.161198823174377,9858,6
"11035C29-",-0.923749171458509,16597,10
"11035C39-",-0.641429276486266,14664,9
"11035D001",-0.520565005808747,13558,8
"11035D012",-0.460034035890929,12967,8
"11035D0AA",-0.846647230065367,16195,9
"11035D0PA",-0.537966134638237,13733,8
"11035D10-",-0.647692877392742,14708,9
"11035D19-",0.752160324092469,2655,2
"11037A01-",-0.716625354539194,15252,9
"11037A02-",-0.0183568722495545,8351,5
"11037A032",-1.2718765248948,17813,10
"11037A080",0.0368011979862469,7815,5
"11037A091",-0.433573061458387,12682,7
"11037A0ON",-0.00493724103875488,8213,5
"11037A10-",-0.314319610462531,11460,7
"11037A19-",-0.540904162029804,13759,8
"11037B00-",0.23231565458603,6073,4
"11037B01-",0.0802310469009945,7402,5
"11037B022",0.638886018029233,3257,2
"11037B091",0.107877590758387,7141,4
"11037C000",-0.734650947363782,15399,9
"11037C010",-0.978073462332764,16861,10
"11037C022",-1.36251398326949,17972,10
"11037C081",-1.1434082344381,17485,10
"11037C090",-0.725694431305913,15329,9
"11037C100",-0.879159716035999,16370,9
"11037C110",-0.761252695249463,15603,9
"11037C12-",-0.694100481855728,15090,9
"11037C180",-1.0802750952433,17263,10
"11037C19-",-0.957044975383537,16751,10
"11037C20-",0.072078564832348,7475,5
"11038A000",-0.262003163327884,10946,6
"11038A010",-0.408403720575515,12447,7
"11038A020",0.206564976823321,6282,4
"11038A030",-1.0160241173109,17028,10
"11038A04-",-0.977933608355629,16860,10
"11038A070",-0.0542137879584653,8701,5
"11038A090",0.320516568159467,5336,3
"11038A1AR",-0.870840120188273,16321,9
"11038A1BR",-1.14627031191326,17497,10
"11039A00-",-0.432629119597304,12671,7
"11039A010",-0.583397524663189,14133,8
"11039A02-",-0.420237308839162,12561,7
"11039A03-",-0.671613039203456,14910,9
"11039A04-",-0.620970866653403,14466,8
"11039A081",-0.781374106129767,15732,9
"11039A09-",0.370777896005616,4935,3
"11039A10-",-1.10425622913354,17352,10
"11039A11-",-1.2729026562646,17816,10
"11039A122",-1.30436845003772,17876,10
"11039A20-",-0.762218174200625,15611,9
"11039A21-",-0.683677628156393,15001,9
"11039A22-",-1.30402608760399,17873,10
"11039A23-",-0.216043996935204,10438,6
"11039A28-",-1.44447160799685,18076,10
"11039A29-",-0.199299433827498,10261,6
"11039B000",-0.557985349645063,13898,8
"11039B01-",-1.17948574270107,17603,10
"11039B02-",-1.37004992410466,17986,10
"11039B032",-1.36782052180863,17981,10
"11039B08-",-1.24545201774138,17758,10
"11039B091",-0.158006680891366,9822,6
"11039B10-",-1.51174450070752,18137,10
"11039B19-",-1.52377085618213,18142,10
"11040A00-",0.138715355455579,6863,4
"11040A01-",0.123855816745771,7002,4
"11040A02-",-0.543556463826392,13787,8
"11040A03-",-0.337072970659983,11699,7
"11040A040",-0.0554893177982422,8715,5
"11040A050",-0.613423783653974,14403,8
"11040A060",-0.339006008240731,11725,7
"11040A072",-0.250768611469656,10824,6
"11040A091",0.0593739366747176,7607,5
"11040A0AA",-1.44308085478593,18074,10
"11040A0PA",-1.30039744311946,17867,10
"11040A10-",-0.219441546931193,10476,6
"11040A11-",-1.01638775233335,17029,10
"11040A12-",-0.827569154536026,16089,9
"11040A13-",-1.06145288807597,17202,10
"11040A14-",-1.36080605130516,17967,10
